Accession	Name	Description	Source Database
PS51236	Thrombospondin C-terminal domain profile	"Thrombospondins are multimeric multidomain glycoproteins that function at cell
surfaces and in the extracellular matrix milieu. They act as regulators of
cell interactions in vertebrates. They are divided into two subfamilies, A and
B, according to their overall molecular organization. The subgroup A proteins
TSP-1 and -2 contain an N-terminal domain, a VWFC domain,
three TSP1 repeats (see{PDOC50092}), three EGF-like domains,
TSP3 repeats and a C-terminal domain. They are assembled as
trimer. The subgroup B thrombospondins designated TSP-3 -4 and COMP (cartilage
oligomeric matrix protein, also designated TSP-5) are distinct in that they
contain unique N-terminal regions, lack the VWFC domain and TSP1 repeats,
contain four copies of EGF-like domains, and are assembled as pentamers [[cite:PUB00043707]].
EGF, TSP3 repeats and the C-terminal domain are thus the hallmark of a
thrombospondin.

The globular C-terminal domain is a beta sandwich of two curved antiparallel
beta-sheets [[cite:PUB00037903]]. The fold is an elaboration of the jelly role
topology, with strand B3-B7, B11 and B14-B15 forming the eight-stranded jelly
roll motif. The function of the C-terminal domain is not yet known.

The profile we developed covers the entire thrombospondin C-terminal domain."	PROFILE
IPR037047	PITH domain superfamily	"This entry represents the PITH domain superfamily (derived from Proteasome-Interacting THioredoxin). The protein Txnl1, which is a probable component of the 32kDa 26S proteasome, uses its C-terminal PITH domain to associate specifically with the 26S proteasome [[cite:PUB00053806]].

The PITH domain is dominated by a jelly roll β-sandwich structure. The β-sandwich is formed by face-to-face packing of two anti-parallel β-sheets. Another two-stranded β-sheet seals off one end of the β-barrel [[cite:PUB00038340], [cite:PUB00057965]]."	INTERPRO
PF18448	Carbohydrate binding domain	Carbohydrate active enzymes (CAZYmes) that target recalcitrant polysaccharides are modular enzymes containing noncatalytic carbohydrate-binding modules (CBMs) that direct enzymes to their cognate substrate, thus potentiating catalysis. The structure of Bacillus halodurans endo-beta-1,4-glucanase B (Cel5B) reveals that CBM46 is tightly associated with the catalytic module and, dependent on the glucan presented to the enzyme, can contribute directly to substrate binding or play a targeting role in directing the enzyme to regions of the plant cell wall rich in the polysaccharide hydrolyzed by the enzyme. The CBM46 domain displays a classic beta-sandwich jelly roll fold. Against beta-1,3-1,4-glucans CBM46 domain participates in productive substrate binding and thus plays a direct role in the hydrolytic activity of the enzyme [[cite:PUB00138366]].	PFAM
IPR038639	AlgX, C-terminal domain superfamily	This entry represents the C-terminal domain of the alginate biosynthesis protein AlgX. This domain is a bacterial carbohydrate-binding module (CBM) frequently found at the C terminus of enzymes. The combination is not unusual as the CBMs function to bring the relevant polysaccharide into close proximity to the active site [[cite:PUB00076062]]. Structurally, this domain consists of 8 β sheets, arranged into a jelly-roll β sandwich.	INTERPRO
IPR007542	Major capsid protein, C-terminal	The entry includes major capsid proteins (vp54 and vp72) found in Iridoviruses, Phycodnaviruses, Asfarviruses and Ascoviruses, which are all type II dsDNA viruses with no RNA stage. This is the most abundant structural protein and can account for up to 45% of virion protein [[cite:PUB00010097]]. The structure of vp54 has been determined from Paramecium bursaria Chlorella virus 1 (PBCV-1), a very large icosahedral virus containing an internal membrane enclosed within a glycoprotein coat. The vp54 protein is a duplication consisting of two domains with a similar fold packed together like the nucleoplasmin subunits. The vp54 protein forms a trimer, where the domains are arranged around a pseudo 6-fold axis. The domains have a β-sandwich structure consisting of 8 strands in two sheets with a jelly-roll topology [[cite:PUB00022136]].	INTERPRO
IPR054095	Androglobin, domain V	Androglobin is a protein with a key role in spermatogenesis. It is required for sperm flagellum formation and maturation of elongating spermatids, both essential for male fertility. Androglobin contains an N-terminal cysteine protease domain that lacks the catalytic cysteine, a tandem of three β-sandwich domains (domains II, IV, V) and a circularly permuted globin-like domain (domain III) that is inserted between domain II and IV [[cite:PUB00095962], [cite:PUB00154403]]. This entry represents domain V. This domain is predicted to adopt a jelly-roll topology that is observed in galactose-binding domains. It has a significant sequence similarity to domains found in ciliary protein FAP42 and to domain III in calpains. This domain is predicted to contain two large, nearly 80 residues long insertions in the loops both of which are likely to be disordered.	INTERPRO
PF22070	Androglobin, domain V	Androglobin is a protein with a key role in spermatogenesis. It is required for sperm flagellum formation and maturation of elongating spermatids, both essential for male fertility. Androglobin contains an N-terminal cysteine protease domain that lacks the catalytic cysteine, a tandem of three beta-sandwich domains (domains II,IV,V) and a circularly permuted globin-like domain (domain III) that is inserted between domain II and IV. This entry represents domain V. This domain is predicted to adopt a jelly-roll topology that is observed in galactose-binding domains. It has a significant sequence similarity to domains found in ciliary protein FAP42 and to domain III in calpains. This domain is predicted to contain two large, nearly 80 residues long insertions in the loops both of which likely disordered.	PFAM
PS51328	L-type lectin-like (leguminous) domain profile	"The carbohydrate recognition domain (CRD) of the following proteins shares a
striking structural similarity with calcium-dependent L-type (leguminous)
lectins:

 - Yeast  proteins EMP46  and  EMP47,  type  I  membrane proteins, which cycle
   between the  endoplasmic reticulum (ER) and the Golgi apparatus by vesicles
   coated with  coat  protein  complexes  I  and II (COPI and COPII). They are
   considered to   function   as   cargo   reveptors  for  exporting  N-linked
   glycoproteins from the ER.
 - Animal  p58/ERGIC-53,  a  calcium-dependent  lectin that cycles between the
   endoplasmic reticulum  (ER)  and  the Golgi complex and appears to act as a
   cargo receptor for a subset of soluble glycoproteins exported from the ER.
 - Mammalian  vesicular-integral protein of 36 kDa (VIP36), a transport lectin
   for trafficking  certain  high-mannose  type  glycoproteins  in  the  early
   secretory pathway.

The L-type lectin-like domain has an overall globular shape composed of a
beta-sandwich of two major twisted antiparallel beta-sheets.
The beta-sandwich comprises a major concave beta-sheet and a minor convex
beta-sheet, in a variation of the jelly roll fold [[cite:PUB00036826]][[cite:PUB00030484]][[cite:PUB00039168]][[cite:PUB00043679]].

The profile we developed covers the entire L-type lectin-like domain."	PROFILE
PS01034	Glycosyl hydrolases family 16 active sites	"The glycosyl hydrolases family 16 (GH16) [[cite:PUB00000503]] contains functionally
heterogeneous members, including beta-agarases, endo-1,3-beta-glucanases
(laminarinases), endo-beta-1,3-1,4-glucanases (lichenases), kappa-
carrageenases, endo-beta-galactosidases and xyloglucan endotransferases. These
enzymes share a common ancestor and have diverged significantly in their
primary sequence.

The GH16 catalytic domain has a classical sandwich-like beta-jelly roll fold,
formed by two main, closely packed and curved antiparallel beta sheets,
creating a deep channel harboring the catalytic machinery.
Even though the GH16 domains have now diverged significantly in their primary
sequences, they all feature a common catalytic motif, E-[ILV]-D-[IVAF]-
[VILMF](0,1)-E. The two glutamic acid residues in the conserved motif are the
nucleophile and the general base involved in catalysis, whereas the aspartic
acid residue is important in maintaining the relative position of these
catalytic amino acids [[cite:PUB00029321]][[cite:PUB00010686]].

Some proteins known to contain a GH16 domain are listed below:

 - Bacterial beta-1,3-1,4-glucanases, or lichenases, (EC 3.2.1.73) mainly from
   Bacillus but  also  from  Clostridium thermocellum (gene licB), Fibrobacter
   succinogenes and Rhodothermus marinus (gene bglA).
 - Bacillus circulans beta-1,3-glucanase A1 (EC 3.2.1.39) (gene glcA).
 - Alteromonas carrageenovora kappa-carrageenase (EC 3.2.1.83) (gene cgkA).
 - Rhizobium meliloti endo-1,3-1,4-beta-glycanase exoK.
 - Streptomyces coelicolor agarase (EC 3.2.1.81) (gene dagA).
 - Zobellia galactanivorans beta-agarase A (EC 3.2.1.81) (gene agaA).
 - Zobellia galactanivorans beta-agarase B (EC 3.2.1.81) (gene agaB).
 - Saccharophagus sp. AG21 beta-agarase (gene agy1), includes a GH16 domain
   and two CBM6 (carbohydrate binding type-6) domain.
 - Microbulbifer thermotolerans agarase (agaA).
 - Thermotoga maritima laminarinase.
 - Saccharomyces cerevisiae beta-glucan synthesis-associated protein SKN1 [[cite:PUB00016652]].
 - Saccharomyces cerevisiae beta-glucan synthesis-associated protein KRE6 [[cite:PUB00016652]].

Two closely clustered conserved glutamates have been shown [[cite:PUB00002845]] to be involved
in the catalytic activity of Bacillus licheniformis lichenase. We used the
region that contains these residues as a signature pattern. We have also
developed a profile that covers the entire GH16 domain."	PROSITE
IPR029053	Viral coat protein subunit	The domain that participates in the formation of icosahedral virus shell exhibits a fold with two flanking twisted β-sheets, each consisting of 4 antiparallel β-strands, that is called the 8-stranded jelly roll β-barrel motif [[cite:PUB00069786], [cite:PUB00021300]]. In the Norwalk virus, a human calicivirus, the capsid protein has a protruding (P) domain connected by a flexible hinge to a shell (S) domain that has this classical eight-stranded β-sandwich motif [[cite:PUB00028679]].	INTERPRO
IPR042207	Glycoprotein VP7, domain 1	Glycoprotein VP7, also known as outer shell glycoprotein, is a serotype-specific antigen, and is the major neutralisation antigen. It is found in the dsRNA rotaviruses. This superfamily represents the domain 1 found in glycoprotein VP7, it consists of 6 α helices and 5 β strands arranged into a Rossmann fold. Within VP7, this superfamily makes up the first of 2 domains, the other being a jelly-roll β sandwich domain. A single disulfide bond is present within the domain.	INTERPRO
IPR042486	Arabinosyltransferase, C-terminal, subdomain 2	Arabinosyltransferase is involved in arabinogalactan (AG) biosynthesis pathway in mycobacteria. AG is a component of the macromolecular assembly of the mycolyl-AG-peptidoglycan complex of the cell wall. This enzyme has important clinical applications as it is believed to be the target of the antimycobacterial drug Ethambutol [[cite:PUB00010078]]. This superfamily represents the subdomain 2 of the C-terminal of arabinosyltransferase. Structurally, this domain is composed of 3 α helices and 10 β strands, arranged into a jelly-roll β sandwich.	INTERPRO
IPR036727	Olfactory marker superfamily	Olfactory marker protein (OMP) is a highly expressed, cytoplasmic protein found in mature olfactory sensory receptor neurons of all vertebrates. OMP is a modulator of the olfactory signal transduction cascade. The crystal structure of OMP reveals a β sandwich consisting of eight strands in two sheets with a jelly-roll topology [[cite:PUB00013265]]. Three highly conserved regions have been identified as possible protein-protein interaction sites in OMP, indicating a possible role for OMP in modulating such interactions, thereby acting as a molecular switch [[cite:PUB00013266]].	INTERPRO
IPR040502	Endo-alpha-N-acetylgalactosaminidase, domain 6	"Proteins containing a galactose-binding domain-like fold can be found in several different protein families, in both eukaryotes and prokaryotes. The common function of these domains is to bind to specific ligands, such as cell-surface-attached carbohydrate substrates for galactose oxidase and sialidase [[cite:PUB00004093]], phospholipids on the outer side of the mammalian cell membrane for coagulation factor Va [[cite:PUB00010664]], membrane-anchored ephrin for the Eph family of receptor tyrosine kinases [[cite:PUB00010665]], and a complex of broken single-stranded DNA and DNA polymerase beta for XRCC1 [[cite:PUB00005865]]. The structure of the galactose-binding domain-like members consists of a β-sandwich, in which the strands making up the sheets exhibit a jelly-roll fold [[cite:PUB00051660]].

This entry represents a galactose-binding domain, referred to as domain 6, found in endo-alpha-N-acetylgalactosaminidases from bacteria [[cite:PUB00101387], [cite:PUB00050468]]."	INTERPRO
IPR016184	Capsid/spike protein, ssDNA virus	This entry represents a coat protein found in ssDNA viruses, such as the capsid protein F and the spike protein G in Microviridae [[cite:PUB00027172]], the Parvovirus capsid protein [[cite:PUB00037580]], the Dependovirus capsid protein [[cite:PUB00028896]] and the Densovirus capsid protein [[cite:PUB00019406]]. These proteins share a β-sandwich structure consisting of 8 β-strands in two sheets with a jelly-roll fold, although some members can have an additional 1-2 strands; characteristic interaction between the domains of this fold allows the formation of five-fold and pseudo six-fold assemblies.	INTERPRO
IPR016112	Group II dsDNA virus coat/capsid protein	"Hexon is a major coat protein found in various species-specific Adenoviruses, which are type II dsDNA viruses. Hexon coat proteins are synthesised during late infection and form homo-trimers. The 240 copies of the hexon trimer that are produced are organised so that 12 lie on each of the 20 facets. The central 9 hexons in a facet are cemented together by 12 copies of polypeptide IX. The penton complex, formed by the peripentonal hexons and base hexon (holding in place a fibre), lie at each of the 12 vertices [[cite:PUB00003331]]. The hexon coat protein is a duplication consisting of two domains with a similar fold packed together like the nucleoplasmin subunits. Within a hexon trimer, the domains are arranged around a pseudo 6-fold axis. The domains have a β-sandwich structure consisting of 8 strands in two sheets with a jelly-roll topology; each domain is heavily decorated with many insertions [[cite:PUB00022393]]. The major capsid proteins (vp54 and vp72) found in Iridoviruses, Phycodnaviruses, Asfarviruses and Ascoviruses share the same structure. All these viruses are type II dsDNA viruses with no RNA stage. This is the most abundant structural protein and can account for up to 45% of virion protein [[cite:PUB00010097]]. The structure of vp54 has been determined from Paramecium bursaria Chlorella virus 1 (PBCV-1), a very large icosahedral virus containing an internal membrane enclosed within a glycoprotein coat. The vp54 protein is a duplication consisting of two domains with a similar fold packed together like the nucleoplasmin subunits. The vp54 protein forms a trimer, where the domains are arranged around a pseudo 6-fold axis. The domains have a β-sandwich structure consisting of 8 strands in two sheets with a jelly-roll topology [[cite:PUB00022136]].



Similarly, the major capsid protein p3 from Bacteriophage PRD1 also adopts a similar double-barrel structure comprising two eight-stranded viral β-barrels or jelly rolls, each of which contains a 12-residue α-helix. This protein then trimerises through a 'trimerisation loop' sequence, and is incorporated within the viral capsid [[cite:PUB00028629]]."	INTERPRO
IPR037293	Galactose oxidase, central domain superfamily	"This entry represents a β-propeller domain found in galactose oxidase.



Galactose oxidase ([ec:1.1.3.9]) is a monomeric enzyme that contains a single copper ion and catalyses the stereospecific oxidation of primary alcohols to their corresponding aldehyde [[cite:PUB00014151]]. The protein contains an unusual covalent thioether bond between a tyrosine and a cysteine that forms during its maturation [[cite:PUB00014152]]. Galactose oxidase is a three-domain protein: the N-terminal domain forms a jelly-roll sandwich, the central domain forms a seven 4-bladed β-propeller, and the C-terminal domain has an immunoglobulin-like fold."	INTERPRO
IPR008979	Galactose-binding-like domain superfamily	"Proteins containing a galactose-binding-like domain fold can be found in several different protein families, in both eukaryotes and prokaryotes.  The common function of these domains is to bind to specific ligands, such as cell-surface-attached carbohydrate substrates for galactose oxidase and sialidase [[cite:PUB00004093]], phospholipids on the outer side of the mammalian cell membrane for coagulation factor Va [[cite:PUB00010664]], membrane-anchored ephrin for the Eph family of receptor tyrosine kinases [[cite:PUB00010665]], and a complex of broken single-stranded DNA and DNA polymerase beta for XRCC1 [[cite:PUB00005865]].

The structure of the galactose-binding-like domain members consists of a β-sandwich, in which the strands making up the sheets exhibit a jelly roll fold.  There is a high degree of similarity in the β-sandwich and in the loops between different family members, despite an often low level of sequence similarity."	INTERPRO
IPR016107	Adenovirus Pll, hexon, N-terminal	Hexon is a major coat protein found in various species-specific Adenoviruses, which are type II dsDNA viruses. Hexon coat proteins are synthesised during late infection and form homo-trimers. The 240 copies of the hexon trimer that are produced are organised so that 12 lie on each of the 20 facets. The central 9 hexons in a facet are cemented together by 12 copies of polypeptide IX. The penton complex, formed by the peripentonal hexons and base hexon (holding in place a fibre), lie at each of the 12 vertices [[cite:PUB00003331]]. The hexon coat protein is a duplication consisting of two domains with a similar fold packed together like the nucleoplasmin subunits. Within a hexon trimer, the domains are arranged around a pseudo 6-fold axis. The domains have a β-sandwich structure consisting of 8 strands in two sheets with a jelly-roll topology; each domain is heavily decorated with many insertions [[cite:PUB00022393]]. This entry represents the N-terminal domain of hexon coat proteins.	INTERPRO
IPR016108	Adenovirus Pll, hexon, C-terminal	Hexon is a major coat protein found in various species-specific Adenoviruses, which are type II dsDNA viruses. Hexon coat proteins are synthesised during late infection and form homo-trimers. The 240 copies of the hexon trimer that are produced are organised so that 12 lie on each of the 20 facets. The central 9 hexons in a facet are cemented together by 12 copies of polypeptide IX. The penton complex, formed by the peripentonal hexons and base hexon (holding in place a fibre), lie at each of the 12 vertices [[cite:PUB00003331]]. The hexon coat protein is a duplication consisting of two domains with a similar fold packed together like the nucleoplasmin subunits. Within a hexon trimer, the domains are arranged around a pseudo 6-fold axis. The domains have a β-sandwich structure consisting of 8 strands in two sheets with a jelly-roll topology; each domain is heavily decorated with many insertions [[cite:PUB00022393]]. This entry represents the C-terminal domain of hexon coat proteins.	INTERPRO
PF20160	C-JID domain	C-terminal jelly roll/Ig-like domain (C-JID) was defined in cryogenic electron microscopy (cryoEM) structures of plant intracellular immune receptors containing Toll/interleukin-1 receptor (TIR, PF01582), nucleotide-binding (NB-ARC, PF00931) and leucine-rich repeat (LRR) domains (TIR-NLRs) [[cite:PUB00098643],[cite:PUB00098642]]. Structurally, the C-JID core is represented by a beta-sandwich made up of 8 to 9 beta-strands. C-JID matches the so-called post-LRR or C-terminal non-LRR domain detected earlier via MEME and BLAST searches [[cite:PUB00098644],[cite:PUB00100184]]. The domain showed a strong distribution bias towards TIR-NLRs of dicotyledonous plant species despite broader taxonomic distribution of TIR-NLR in plant groups [1-7]. Structure-function analyses of cryoEM structures suggest that C-JID domains play a role in substrate recognition, such as binding to effector proteins from pathogens, and thus are involved in the initiation of signaling by TIR-NLR receptors [[cite:PUB00098643],[cite:PUB00098642]]. Presence of C-JID (or post-LRR) and its importance for the function of Arabidopsis TIR-NLR RPS4 that partners with RRS1 for effector recognition suggest that C-JID has additional functions [4-6].	PFAM
IPR038519	Major capsid protein, C-terminal domain superfamily	The entry includes major capsid proteins (vp54 and vp72) found in Iridoviruses, Phycodnaviruses, Asfarviruses and Ascoviruses, which are all type II dsDNA viruses with no RNA stage. This is the most abundant structural protein and can account for up to 45% of virion protein [[cite:PUB00010097]]. The structure of vp54 has been determined from Paramecium bursaria Chlorella virus 1 (PBCV-1), a very large icosahedral virus containing an internal membrane enclosed within a glycoprotein coat. The vp54 protein is a duplication consisting of two domains with a similar fold packed together like the nucleoplasmin subunits. The vp54 protein forms a trimer, where the domains are arranged around a pseudo 6-fold axis. The domains have a β-sandwich structure consisting of 8 strands in two sheets with a jelly-roll topology [[cite:PUB00022136]].	INTERPRO
IPR000757	Glycoside hydrolase family 16	"The glycosyl hydrolases family 16 (GH16) [[cite:PUB00000503]] contains functionally heterogeneous members, including lichenase ([ec:3.2.1.73]); xyloglucan xyloglucosyltransferase ([ec:2.4.1.207]); agarase ([ec:3.2.1.81]); kappa-carrageenase ([ec:3.2.1.83]); endo-beta-1,3-glucanase ([ec:3.2.1.39]); endo-beta-1,3-1,4-glucanase ([ec:3.2.1.6]); endo-beta-galactosidase ([ec:3.2.1.103]). These enzymes share a common ancestor and have diverged significantly in their primary sequence.

The GH16 catalytic domain has a classical sandwich-like β-jelly roll fold, formed by two main, closely packed and curved antiparallel β-sheets, creating a deep channel harboring the catalytic machinery. Even though the GH16 domains have now diverged significantly in their primary sequences, they all feature a common catalytic motif, E-[ILV]-D-[IVAF]-[VILMF](0,1)-E. The two glutamic acid residues in the conserved motif are the nucleophile and the general base involved in catalysis, whereas the aspartic acid residue is important in maintaining the relative position of these catalytic amino acids [[cite:PUB00029321], [cite:PUB00010686]].

Two closely clustered conserved glutamates have been shown [[cite:PUB00002845]] to be involved in the catalytic activity of Bacillus licheniformis lichenase. This domain contains these residues."	INTERPRO
PF17993	Haemagglutinin 70 C-terminal domain	This is the C-terminal domain found in hemagglutinin component such as HA70 found in Clostridium botulinum. HA is a component of the large botulinum neurotoxin complex and is critical for its oral toxicity. HA plays multiple roles in toxin penetration in the gastrointestinal tract, including protection from the digestive environment, binding to the intestinal mucosal surface, and disruption of the epithelial barrier [[cite:PUB00091177]]. HA consists of three different proteins, designated HA70 (also known as HA3), HA33 (HA1), and HA17 (HA2) based on molecular mass [[cite:PUB00091109]]. HA70 consists of three domains (D1-3). The D1 and D2 domains, which adopt similar structures, mediate the trimerization of HA70 with each protomer. The D3 domain, sitting at the tip of the trimer, is composed of two similar jelly-roll-like beta-sandwich structures [[cite:PUB00091178]]. Furthermore, crystal structures of HA70 in a complex with alpha2,3- or alpha2,6-SiaLac (alpha2,6-sialyllactose), show that alpha2,3- and alpha2,6-SiaLac bound to the same region in the D3 domain of HA70. This domain is the D3 domain found in HA3/HA70 which has been shown to be involved in binding to carbohydrate of glycoproteins from epithelial cells in the infection process [[cite:PUB00091109]].	PFAM
IPR040597	Hemagglutinin component HA-70, C-terminal	This is the C-terminal domain found in hemagglutinin component such as HA70 from Clostridium botulinum. HA is a component of the large botulinum neurotoxin complex and is critical for its oral toxicity. HA plays multiple roles in toxin penetration in the gastrointestinal tract, including protection from the digestive environment, binding to the intestinal mucosal surface, and disruption of the epithelial barrier [[cite:PUB00091177]]. HA consists of three different proteins, designated HA70 (also known as HA3), HA33 (HA1), and HA17 (HA2) based on molecular mass [[cite:PUB00091109]]. HA70 consists of three domains (D1-3). The D1 and D2 domains, which adopt similar structures, mediate the trimerization of HA70 with each protomer. The D3 domain, sitting at the tip of the trimer, is composed of two similar jelly-roll-like β-sandwich structures [[cite:PUB00091178]]. Furthermore, crystal structures of HA70 in a complex with alpha2,3-or alpha2,6-SiaLac (alpha2,6-sialyllactose), show that alpha2,3-and alpha2,6-SiaLac bound to the same region in the D3 domain of HA70. This domain is the D3 domain found in HA3/HA70 which has been shown to be involved in binding to carbohydrate of glycoproteins from epithelial cells in the infection process [[cite:PUB00091109]].	INTERPRO
IPR045344	C-JID domain	C-terminal jelly roll/Ig-like domain (C-JID) was defined in cryogenic electron microscopy (cryoEM) structures of plant intracellular immune receptors containing Toll/interleukin-1 receptor (TIR), nucleotide-binding (NB-ARC) and leucine-rich repeat (LRR) domains (TIR-NLRs) [[cite:PUB00098643], [cite:PUB00098642]]. Structurally, the C-JID core is represented by a β-sandwich made up of 8 to 9 β-strands. C-JID matches the so-called post-LRR or C-terminal non-LRR domain detected earlier via MEME and BLAST searches [[cite:PUB00098644], [cite:PUB00100184]]. The domain showed a strong distribution bias towards TIR-NLRs of dicotyledonous plant species despite broader taxonomic distribution of TIR-NLR in plant groups [[cite:PUB00098643], [cite:PUB00098642], [cite:PUB00098644], [cite:PUB00100184]]. Structure-function analyses of cryoEM structures suggest that C-JID domains play a role in substrate recognition, such as binding to effector proteins from pathogens, and thus are involved in the initiation of signalling by TIR-NLR receptors [[cite:PUB00098643], [cite:PUB00098642]]. Presence of C-JID (or post-LRR) and its importance for the function of Arabidopsis TIR-NLR RPS4 that partners with RRS1 for effector recognition suggest that C-JID has additional functions [[cite:PUB00100183], [cite:PUB00100185], [cite:PUB00100186]].	INTERPRO
IPR023558	Tryptophan RNA-binding attenuator protein domain	The tryptophan RNA-binding attenuation protein (TRAP) regulates expression of the tryptophan biosynthetic genes in Bacillus sp. by binding to the leader region of the nascent trp operon mRNA [[cite:PUB00025371]]. The crystal structure of the Trp RNA-binding attenuation protein of Bacillus subtilis (mtrB, [swissprot:P19466]) has been solved [[cite:PUB00004208]]. TRAP forms an oligomeric ring consisting of 11 single-domain subunits, where each subunit adopts a double-stranded β-helix structure with the appearance of a β-sandwich of distinct architecture and jelly-roll fold. The 11 subunits are stabilised by 11 inter-subunit strands, forming a β-wheel with a large central hole. TRAP is activated by binding to tryptophan in clefts between adjacent β-strands, which induces conformational changes in the protein. Activated TRAP binds an mRNA target sequence consisting of 11 (G/U)AG repeats, separated by 2-3 spacer nucleotides. The spacer nucleotides do not make direct contact with the TRAP protein, but they do influence the conformation of the RNA, which might influence the specificity of TRAP [[cite:PUB00022801]]. This entry represents the structural domain in the TRAP family of proteins.	INTERPRO
IPR015961	Mu1 membrane penetration protein, domain I	Mu1 is an outer capsid protein that acts as a reoviral penetration agent. Non-enveloped animal reoviruses must enter host cells by membrane penetration that does not involve membrane fusion, as they lack a viral membrane. Reoviruses are activated by proteolytic cleavage in the intestinal lumen, leading to infectious subviral particles. The core of the virus is coated by a layer of mu1 and sigma3 proteins. Proteases strip off sigma3 exposing mu1, which provides the membrane penetration machinery that perforates the membrane. In addition, N-terminal myristoylation of polypeptide Mu1 is required for site-specific cleavage to Mu1C in transfected cells [[cite:PUB00036074]]. Mu1 forms a trimer, where the three mu1 molecules are coiled around one another with a right-handed twist. The mu1 chain folds into four distinct domains: three intertwined, predominantly α helical domains and a jelly-roll β-sandwich [[cite:PUB00013280]].	INTERPRO
IPR015962	Mu1 membrane penetration protein, domain II	Mu1 is an outer capsid protein that acts as a reoviral penetration agent. Non-enveloped animal reoviruses must enter host cells by membrane penetration that does not involve membrane fusion, as they lack a viral membrane. Reoviruses are activated by proteolytic cleavage in the intestinal lumen, leading to infectious subviral particles. The core of the virus is coated by a layer of mu1 and sigma3 proteins. Proteases strip off sigma3 exposing mu1, which provides the membrane penetration machinery that perforates the membrane. In addition, N-terminal myristoylation of polypeptide Mu1 are required for site-specific cleavage to Mu1C in transfected cells [[cite:PUB00036074]]. Mu1 forms a trimer, where the three mu1 molecules are coiled around one another with a right-handed twist. The mu1 chain folds into four distinct domains: three intertwined, predominantly α helical domains and a jelly-roll β-sandwich [[cite:PUB00013280]].	INTERPRO
IPR044937	Mu1 membrane penetration protein, domain III	Mu1 is an outer capsid protein that acts as a reoviral penetration agent. Non-enveloped animal reoviruses must enter host cells by membrane penetration that does not involve membrane fusion, as they lack a viral membrane. Reoviruses are activated by proteolytic cleavage in the intestinal lumen, leading to infectious subviral particles. The core of the virus is coated by a layer of mu1 and sigma3 proteins. Proteases strip off sigma3 exposing mu1, which provides the membrane penetration machinery that perforates the membrane. In addition, N-terminal myristoylation of polypeptide Mu1 are required for site-specific cleavage to Mu1C in transfected cells [[cite:PUB00036074]]. Mu1 forms a trimer, where the three mu1 molecules are coiled around one another with a right-handed twist. The mu1 chain folds into four distinct domains: three intertwined, predominantly α helical domains and a jelly-roll β-sandwich [[cite:PUB00013280]].	INTERPRO
IPR036262	Resistin-like superfamily	This superfamily consists of several mammalian resistin proteins. Resistin is a 12.5kDa cysteine-rich secreted polypeptide first reported from rodent adipocytes. It belongs to a multigene family termed RELMs or FIZZ proteins. Plasma resistin levels are significantly increased in both genetically susceptible and high-fat-diet-induced obese mice. Immunoneutralisation of resistin improves hyperglycemia and insulin resistance in high-fat-diet-induced obese mice, while administration of recombinant resistin impairs glucose tolerance and insulin action in normal mice. It has been demonstrated that increases in circulating resistin levels markedly stimulate glucose production in the presence of fixed physiological insulin levels, whereas insulin suppressed resistin expression. It has been suggested that resistin could be a link between obesity and type 2 diabetes [[cite:PUB00012942]]. The resistin structure has a disulfide-rich six-stranded β-sandwich fold and jelly-roll topology.	INTERPRO
IPR036256	Mu1/VP4 superfamily	"This entry includes outer capsid proteins Mu1 and VP4.

Mu1 is an outer capsid protein that acts as a reoviral penetration agent. Non-enveloped animal reoviruses must enter host cells by membrane penetration that does not involve membrane fusion, as they lack a viral membrane. Reoviruses are activated by proteolytic cleavage in the intestinal lumen, leading to infectious subviral particles. The core of the virus is coated by a layer of mu1 and sigma3 proteins. Proteases strip off sigma3 exposing mu1, which provides the membrane penetration machinery that perforates the membrane. In addition, N-terminal myristoylation of polypeptide Mu1 are required for site-specific cleavage to Mu1C in transfected cells [[cite:PUB00036074]]. Mu1 forms a trimer, where the three mu1 molecules are coiled around one another with a right-handed twist. The mu1 chain fold consists of four distinct domains, three intertwined, predominantly α helical domains and a jelly-roll β-sandwich [[cite:PUB00013280]]."	INTERPRO
IPR016110	Adenovirus Pll, hexon, subdomain 3	Hexon is a major coat protein found in various species-specific Adenoviruses, which are type II dsDNA viruses. Hexon coat proteins are synthesised during late infection and form homo-trimers. The 240 copies of the hexon trimer that are produced are organised so that 12 lie on each of the 20 facets. The central 9 hexons in a facet are cemented together by 12 copies of polypeptide IX. The penton complex, formed by the peripentonal hexons and base hexon (holding in place a fibre), lie at each of the 12 vertices [[cite:PUB00003331]]. The hexon coat protein is a duplication consisting of two domains with a similar fold packed together like the nucleoplasmin subunits. Within a hexon trimer, the domains are arranged around a pseudo 6-fold axis. The domains have a β-sandwich structure consisting of 8 strands in two sheets with a jelly-roll topology; each domain is heavily decorated with many insertions [[cite:PUB00022393]]. This entry represents a structural subdomain with a complex α/β topology.	INTERPRO
